iter	Passed	Remaining
409	4609	2136
410	4619	2124
411	4630	2112
412	4641	2101
413	4651	2089
414	4665	2079
415	4683	2071
416	4719	2070
417	4735	2061
418	4747	2050
419	4762	2041
420	4777	2031
421	4789	2020
422	4799	2008
423	4809	1996
424	4820	1984
425	4830	1973
426	4841	1961
427	4851	1949
428	4867	1940
429	4878	1928
430	4889	1917
431	4903	1906
432	4917	1896
433	4935	1887
434	4946	1876
435	4956	1864
436	4974	1855
437	4985	1844
438	4999	1833
439	5008	1821
440	5020	1810
441	5035	1799
442	5046	1788
443	5057	1777
444	5077	1768
445	5088	1756
446	5099	1745
447	5110	1733
448	5119	1721
449	5131	1710
450	5149	1701
451	5160	1689
452	5175	1679
453	5187	1668
454	5199	1656
455	5209	1645
456	5221	1633
457	5232	1622
458	5243	1610
459	5257	1600
460	5290	1595
461	5301	1583
462	5319	1574
463	5331	1562
464	5341	1550
465	5351	1538
466	5366	1528
467	5376	1516
468	5392	1506
469	5404	1494
470	5414	1482
471	5425	1471
472	5435	1459
473	5446	1447
474	5457	1436
475	5469	1424
476	5487	1415
477	5500	1404
478	5510	1392
479	5521	1380
480	5531	1368
481	5542	1356
482	5554	1345
483	5565	1333
484	5579	1323
485	5601	1313
486	5625	1305
487	5637	1293
488	5650	1282
489	5660	1270
490	5675	1259
491	5686	1248
492	5714	1240
493	5726	1228
494	5744	1218
495	5757	1207
496	5767	1195
497	5778	1183
498	5788	1171
499	5801	1160
500	5819	1149
501	5833	1138
502	5845	1127
503	5858	1115
504	5889	1108
505	5949	1105
506	5968	1094
507	5978	1082
508	5988	1070
509	5999	1058
510	6010	1046
511	6021	1034
512	6032	1023
513	6044	1011
514	6056	999
515	6066	987
516	6078	975
517	6103	966
518	6120	955
519	6136	944
520	6147	932
521	6156	920
522	6167	907
523	6181	896
524	6193	884
525	6204	872
526	6217	861
527	6227	849
528	6238	837
529	6254	826
530	6264	814
531	6278	802
532	6288	790
533	6299	778
534	6311	766
535	6321	754
536	6331	742
537	6341	730
538	6355	719
539	6365	707
540	6376	695
541	6387	683
542	6397	671
543	6409	659
544	6420	647
545	6437	636
546	6449	624
547	6460	613
548	6470	601
549	6481	589
550	6491	577
551	6502	565
552	6513	553
553	6523	541
554	6533	529
555	6544	517
556	6554	506
557	6565	494
558	6575	482
559	6585	470
560	6595	458
561	6605	446
562	6616	434
563	6626	422
564	6639	411
565	6649	399
566	6659	387
567	6669	375
568	6680	363
569	6690	352
570	6699	340
571	6710	328
572	6720	316
573	6731	304
574	6743	293
575	6753	281
576	6762	269
577	6773	257
578	6783	246
579	6793	234
580	6805	222
581	6816	210
582	6826	199
583	6836	187
584	6846	175
585	6855	163
586	6866	152
587	6876	140
588	6886	128
589	6897	116
590	6908	105
591	6918	93
592	6928	81
593	6938	70
594	6947	58
595	6958	46
596	6968	35
597	6978	23
598	6988	11
599	7001	0
